id;firstname;lastname;title;sex;country;birthdate;deathdate;birthplace;deathplace
12469;Adolfo;Lozano Sidro;\N;M;ES;1872-00-00;1935-00-00;Priego de Córdoba;Priego de Córdoba
12470;Dionisio;Baixeras y Verdaguer;\N;M;ES;1862-00-00;1943-00-00;Barcelona;Barcelona
12471;Francesc;Galofre Oller;\N;M;ES;1865-00-00;1942-00-00;Valls;Barcelona
12472;Constantino;Gómez Salvador;\N;M;ES;1865-00-00;1937-00-00;Valencia;\N
12473;Tomás;Gutiérrez Larraya;\N;M;ES;1886-00-00;1944-00-00;Santander;Barcelona
12474;Ismael;Smith i Mari;\N;M;ES;1886-00-00;1972-00-00;Barcelona;White Plains
12475;Thérèse;Kassin;\N;F;\N;\N;\N;\N;\N
12476;Antonius Cornelis Augustinus;Kerssemakers;\N;M;NL;1846-00-00;1924-00-00;Gestel, Netherlands;Eindhoven
12477;Jan;Kruysen;\N;M;NL;1874-00-00;1938-00-00;Liempde;Eindhoven
12478;Dirk Johannes Willebeek le;Mair;\N;M;NL;1866-00-00;1917-00-00;Rotterdam;Amsterdam
12479;Philippus;Metman;\N;M;\N;1892-00-00;1967-00-00;Haarlem;London
12480;Dirk Berend;Nanninga;\N;M;NL;1868-00-00;1954-00-00;Arnhem;Amsterdam
12481;Cristophe Karel Henri de;Nerée tot Babberich;\N;M;NL;1880-00-00;1909-00-00;Zevenaar;Todtmoos
12482;Gino;Romiti;\N;M;IT;1881-00-00;1967-00-00;Livorno;Livorno
12483;Giovanni;Prini;\N;M;IT;1877-00-00;1958-00-00;Genoa;Rome
12484;Guido;Valeriani;\N;M;\N;\N;\N;\N;\N
12485;Carla;Celesia di Vegliasco;\N;F;IT;1868-00-00;1939-00-00;Florence;Collesalvetti
12486;L.;Khvoshchinsky;\N;M;\N;\N;\N;\N;\N
12487;Emilio;Mantelli;\N;M;IT;1884-00-00;1917-00-00;Genoa;Verona
12488;Guido;Somelli;\N;M;IT;1881-00-00;1940-00-00;Florence;Florence
12489;Johannes;Nicolaas;\N;M;NL;1885-00-00;1943-00-00;Amsterdam;Eindhoven
12490;Hans;Nieser;\N;M;NL;1885-00-00;1943-00-00;Hague, The;s Hertogenbosch
12491;Pieter  Johannes;Niesten;\N;M;NL;1842-00-00;1918-00-00;Leyden;Leyden
12492;Jacob Martinus;Nijman;\N;M;NL;1876-00-00;1930-00-00;Amsterdam;Bloemendaal
12493;B. J. Van;Oosterhoudt;\N;M;\N;\N;\N;\N;\N
12494;Bart;Peizel;\N;M;NL;1887-00-00;1974-00-00;Veendam;Amsterdam
12495;Johan;Polet;\N;M;NL;1894-00-00;1971-00-00;Amsterdam;Amsterdam
12496;Adrianus;Remiëns;\N;M;NL;1890-00-00;1972-00-00;Amsterdam;Amsterdam
12497;Eugenius;Rensburg;\N;M;NL;1872-00-00;1956-00-00;Hague, The;Hague, The
12498;T. J.;Reijenga;\N;\N;\N;\N;\N;\N;\N
12499;Henri Ernest;Rioux;\N;M;FR;1877-00-00;1944-00-00;Bois-Colombes;Paris
12500;Dirk;Roggeveen;\N;M;NL;1872-00-00;1955-00-00;Anna Paulowna;Amsterdam
12501;Edith;Rollet Vaucamps;\N;F;BE;\N;\N;\N;\N
12502;Vladimir;Baranoff-Rossiné;\N;M;UA;1888-00-00;1944-00-00;Kherson;Auschwitz
12503;Georges;Rouquayrol;\N;M;FR;1885-00-00;1950-00-00;Villefranche-sur-Saône;\N
12504;Leendert;Scheltema;\N;M;NL;1876-00-00;1966-00-00;Ameland;Wateringen
12505;Vittorio;Schiavon;\N;M;IT;1861-00-00;1918-00-00;Trieste;Amsterdam
12506;Ida;Schrijver-Ijzerman;\N;F;NL;1879-00-00;1942-00-00;Bogor;Amsterdam
12507;Louise;Stam;\N;F;\N;\N;\N;\N;\N
12508;Albert George;Steelink;\N;M;NL;1844-00-00;1920-00-00;Amsterdam;Amsterdam
12509;Alex;Tackx;\N;M;\N;\N;\N;\N;\N
12510;Johannes;Theuns;\N;F;NL;1877-00-00;1961-00-00;Princenhage;Breda
12511;André;Utter;\N;M;FR;1886-00-00;1948-00-00;Paris;Paris
12512;Charles;Tichon;\N;M;BE;\N;\N;\N;\N
12513;Willem Abraham;Wassenaar;\N;M;NL;1873-00-00;1956-00-00;Katwijk aan Zee;Amsterdam
12514;Agathe;Wegerif-Gravestein;\N;F;NL;1867-00-00;1944-00-00;Flushing;Laren (Noord-Holland)
12515;R. G. S. L.;Westra Van Holthe;\N;F;\N;\N;\N;\N;\N
12516;Adrianus Johannes Jacobus de;Winter;\N;M;NL;1882-00-00;1951-00-00;Utrecht;Den Helder
12517;Jenny Van;Wijk;\N;F;NL;1879-00-00;1938-00-00;Hague, The;Hague, The
12518;Ossip;Zadkine;\N;M;FR;1890-00-00;1967-00-00;Smolensk;Neuilly-sur-Seine
12519;Geertrudus de;Zoete;\N;M;NL;1879-00-00;1967-00-00;Hague, The;Harderwijk
12520;D.;Migeotte;\N;F;\N;\N;\N;\N;\N
12521;Pierre;Boine;\N;M;\N;1878-00-00;\N;Brussels;\N
12522;Georges;Bourgeois;\N;M;\N;\N;\N;\N;\N
12523;Jules-Marie;Canneel;\N;M;BE;1881-00-00;1953-00-00;Brussels;Brussels
12524;Eugène-Théodore-Emile;Canneel;\N;M;BE;1882-00-00;1966-00-00;Brussels;Schaerbeek
12525;A.;De Kat;\N;\N;\N;\N;\N;\N;\N
12526;Alex;Denonne;\N;M;BE;1879-00-00;1953-00-00;Sint-Joost-ten-Node;Saint-Gilles
12527;Hubert;Glansdorff;\N;M;BE;1877-00-00;1963-00-00;Brussels;Knokke
12528;Eugène;Mahaux;\N;M;BE;1874-00-00;1946-00-00;Brussels;Brussels
12529;Carlo;Ferrari;\N;M;IT;1861-00-00;1951-00-00;Bergamo;Bergamo
12530;Silvio;Galimberti;\N;M;IT;1878-00-00;1956-00-00;Rome;Rome
12531;Damaso;Bianchi;\N;M;IT;1861-00-00;1935-00-00;Bari;Bari
12532;Giovanni;Sacchetto;\N;M;IT;1867-00-00;1921-00-00;Padua;Peraga (Vigonza)
12533;Roberto;Bompiani;\N;M;IT;1821-00-00;1908-00-00;Rome;Rome
12534;Angelo;Giove;\N;M;IT;\N;\N;\N;\N
12535;Ezechiele;Acerbi;\N;M;IT;1850-00-00;1920-00-00;Pavia;Pavia
12536;Giuseppe;Duodo;\N;M;IT;1877-00-00;1955-00-00;Venice;Venice
12537;Cesare Agostino;Detti;\N;M;IT;1847-00-00;1914-00-00;Spoleto;Paris
12538;Francesco;Vismara;\N;M;IT;1857-00-00;1941-00-00;Milan;Cusano Milanino
12539;Alfredo;D'Andrade;\N;M;\N;1839-00-00;1915-00-00;Lisbon;Genoa
12540;Lazzaro;Luxardo;\N;M;IT;1865-00-00;1949-00-00;Voltri;Voltri
12541;Camillo;Totonelli;\N;M;IT;\N;\N;\N;\N
12542;Domenico;Miserocchi;\N;M;IT;1862-00-00;1917-00-00;Ravenna;Imola
12543;Giovanni;Bevilacqua;\N;M;IT;1871-00-00;1968-00-00;Isola della Scala;Genoa
12544;Alphons;Hollaender;\N;M;DE;1845-00-00;1923-00-00;Ratibor;Florence
12545;Francesco;Quadrellli;\N;M;\N;\N;\N;\N;\N
12546;Marco;Chiodini;\N;M;\N;\N;\N;\N;\N
12547;Enrico;Vizzotto;\N;M;IT;1880-00-00;1976-00-00;Oderzo;Padua
12548;Emilia;Ferrettini Rossotti;\N;F;IT;1866-00-00;1951-00-00;Turin;Turin
12549;Franco;Quadrelli;\N;M;\N;\N;\N;\N;\N
12550;Noe;Bordignon;\N;M;IT;1841-00-00;1920-00-00;Castelfranco Veneto;San Zenone degli Ezzelini
12551;Mario Leopoldo;Volpi;\N;M;IT;1877-00-00;1918-00-00;Santa Maria Capua Vetere;Mestre
12552;Lilla;Zanetti;\N;\N;\N;\N;\N;\N;\N
12553;Giuseppe;Ferrandi;\N;M;\N;\N;\N;\N;\N
12554;Eugenio;Bonivento;\N;M;IT;1880-00-00;1956-00-00;Chioggia;Milan
12555;Giuseppe;Barison;\N;M;IT;1853-00-00;1931-00-00;Trieste;Trieste
12556;Enrico;Bartezago;\N;M;IT;1820-00-00;1905-00-00;Lugano;\N
12557;Edoardo;Guazzoni;\N;M;IT;1869-00-00;1946-00-00;Milan;Milan
12558;Luigi;Monteverde;\N;M;CH;1843-00-00;1923-00-00;Lugano;Lugano
12559;Guido;Meineri;\N;M;IT;1869-00-00;1944-00-00;Cuneo;Montese
12560;Georg;Barlösius;\N;M;DE;1864-00-00;1908-00-00;Magdeburg;\N
12561;Klara;Maaß;\N;\N;\N;\N;\N;\N;\N
12562;Heinrich;Petersen-Flensburg;\N;M;DE;1861-00-00;1908-00-00;Aarhus;Kaiserswerth, Düsseldorf
12563;Robert;Brough;\N;M;GB;1872-00-00;1905-00-00;Invergordon;Sheffield
12564;Alex;Fain;\N;M;BE;\N;\N;\N;\N
12565;Lucien;Rion;\N;M;BE;1875-00-00;1939-00-00;Brussels;Brussels
12566;Edmond Van;Offel;\N;M;BE;1871-00-00;1959-00-00;Antwerp;'s-Gravenwezel
12567;Paul;Wissaert;\N;M;BE;1885-00-00;1970-00-00;Brussels;Brussels
12568;\N;De Beer;\N;\N;\N;\N;\N;\N;\N
12569;Cipri Adolf;Bermann;\N;M;DE;1862-00-00;1942-00-00;Vöhrenbach;Luxembourg
12570;\N;Carot;\N;\N;\N;\N;\N;\N;\N
12571;Ludwig;Hess;\N;M;\N;\N;\N;\N;\N
12572;Achille;Cattaneo;\N;M;IT;1872-00-00;1931-00-00;Limbiate;Milan
12573;Mario;Bezzola;\N;M;IT;1881-00-00;1968-00-00;Milan;Milan
12574;Oreste;Pizio;\N;M;IT;1879-00-00;1938-00-00;Turin;Turin
12575;Raffaello;Sorbi;\N;M;IT;1844-00-00;1931-00-00;Florence;Florence
12576;Maximilian von;Fichard;\N;M;UA;1836-00-00;1923-00-00;Lviv;Belgirate
12577;Ettore;Morteo;\N;M;IT;1874-00-00;1939-00-00;Alassio;Genoa
12578;Leonardo;Roda;\N;M;IT;1868-00-00;1933-00-00;Racconigi;Turin
12579;Giuseppe;Grassis;\N;M;IT;1870-00-00;1949-00-00;Turin;Turin
12580;Enrico;Reycend;\N;M;IT;1855-00-00;1928-00-00;Turin;Turin
12581;Giovanni;Piumati;\N;M;IT;1850-00-00;1915-00-00;Brà;Col San Giovanni
12582;Ambrogio;Raffaele;\N;M;IT;1845-00-00;1928-00-00;Vigevano;Vigevano
12583;Luigi;Calderini;\N;M;IT;1880-00-00;1973-00-00;Turin;Turin
12584;Camillo Filippo;Cabutti;\N;M;IT;1863-00-00;1922-00-00;Bossolasco;Turin
12585;Giuseppe;Bottero;\N;M;IT;1846-00-00;1930-00-00;Asti;Turin
12586;Romeo;Bonomelli;\N;M;IT;1871-00-00;1943-00-00;Bergamo;Bergamo
12587;Vittorio;Avanzi;\N;M;IT;1850-00-00;1913-00-00;Verona;Selva di Progno
12588;Stefano;Bruzzi;\N;M;IT;1835-00-00;1911-00-00;Gropallo;Gropallo
12589;Giuseppe;Danieli;\N;M;IT;1865-00-00;1931-00-00;Belluno;Verona
12590;Magda;Becker;\N;F;\N;\N;\N;\N;\N
12591;Sofia di;Bricherasio;\N;F;IT;1869-00-00;1950-00-00;Turin;Terme di Miradolo
12592;Tilde;Ferrari;\N;F;\N;\N;\N;\N;\N
12593;Maria;Ippoliti;\N;F;IT;1861-00-00;1932-00-00;Udine;Pordenone
12594;Marie;Villedien;\N;F;\N;\N;\N;\N;\N
12595;Giovanni Maria;Mucchi;\N;M;\N;\N;\N;\N;\N
12596;Ettore;Caser;\N;M;US;1880-00-00;1944-00-00;Venice;New York
12597;Enrico;Volonterio;\N;M;\N;\N;\N;\N;\N
12598;Giovanni;Galeazzi;\N;M;IT;1870-00-00;1938-00-00;Milan;Milan
12599;Renzo;Canella;\N;M;\N;\N;\N;\N;\N
12600;Oreste;Paltrinieri;\N;M;IT;1873-00-00;1953-00-00;Viareggio;Verona
12601;Lina;Sardi;\N;F;\N;\N;\N;\N;\N
12602;R;Spagnoli;\N;\N;\N;\N;\N;\N;\N
12603;Alfonso;Muzii;\N;M;IT;1856-00-00;1946-00-00;Pescara;Pescara
12604;Enrico;Ravetta;\N;M;IT;1864-00-00;1939-00-00;Milan;\N
12605;Luigi;Ratini;\N;M;IT;1880-00-00;1934-00-00;Trento;Trento
12606;Gaetano;Miolato;\N;M;IT;1875-00-00;1961-00-00;Verona;Verona
12607;Mario;Gachet;\N;M;IT;1879-00-00;1981-00-00;Turin;Gassino Torinese
12608;Giovanni;Fossati;\N;M;IT;\N;\N;\N;\N
12609;Cesare;Covi;\N;M;IT;1872-00-00;1923-00-00;Trento;Trento
12610;Francesco;Valaperta;\N;M;IT;1836-00-00;1908-00-00;Milan;Milan
12611;Adamo Carlo;Caratti;\N;M;IT;1836-00-00;1919-00-00;Udine;Udine
12612;Pietro;Anastasio;\N;M;CH;1859-00-00;1913-00-00;Lugano;Morcote
12613;Gisella;Groppo Weingrill;\N;F;IT;1872-00-00;1967-00-00;Verona;Pinerolo
12614;Mario;Calanna;\N;M;\N;\N;\N;\N;\N
12615;Emilio;Bestetti;\N;M;IT;1870-00-00;1954-00-00;Milan;Milan
12616;Felice;Mazzucchi;\N;M;\N;\N;\N;\N;\N
12617;Maria;Bondioli;\N;F;\N;\N;\N;\N;\N
12618;Mario;Agrifoglio;\N;M;IT;1872-00-00;1972-00-00;Genoa;Roasio
12619;Stefano;Novo;\N;M;IT;1862-00-00;1927-00-00;Cavarzere;Padua
12620;Tommaso;Aroldi;\N;M;IT;1870-00-00;1928-00-00;Cremona;Cremona
12621;Alfredo;Tansini;\N;M;IT;1872-00-00;1918-00-00;Piacenza;Piacenza
12622;Ercole;Olivetti;\N;M;IT;1874-00-00;1941-00-00;Turin;Turin
12623;Francesco;Volpe;\N;M;IT;1880-00-00;1912-00-00;Genoa;Genoa
12624;Giuseppe;Ghiringhelli;\N;M;IT;1874-00-00;1944-00-00;Milan;Varese
12625;Giacomo;Manzoni;\N;M;IT;1840-00-00;1912-00-00;\N;Padua
12626;Angelo Maria;Crepet;\N;M;IT;1885-00-00;1974-00-00;Mestre;Florence
12627;Pietro;Mocenigo;\N;M;\N;\N;\N;\N;\N
12628;Giuseppina;Regalia;\N;F;\N;\N;\N;\N;\N
12629;Valérie;Rubino;\N;F;\N;\N;\N;\N;\N
12630;Michele;Pizzuti;\N;M;IT;1882-00-00;\N;Naples;\N
12631;Giovanni Maria;Rastellini;\N;M;IT;1869-00-00;1927-00-00;Buttogno;Milan
12632;Giovanni;Guarlotti;\N;M;IT;1869-00-00;1954-00-00;Galliate;Turin
12633;Giovanni Battista;Rossino;\N;M;IT;1872-00-00;1956-00-00;Cagliari;Cagliari
12634;Mina;Liuzzi;\N;F;\N;\N;\N;\N;\N
12635;Biagio;Canevari;\N;M;IT;1864-00-00;1925-00-00;Dorno;Dorno
12636;Pierre Henri Théodore;Tetar van Elven;\N;M;IT;1828-00-00;1908-00-00;Molenbeek-Saint-Jean;Milan
12637;Ida;Celeri Viena;\N;F;\N;\N;\N;\N;\N
12638;Maria;Sommer Ascani;\N;F;\N;\N;\N;\N;\N
12639;Arturo;Colavini Marion;\N;M;IT;1862-00-00;1938-00-00;Aiello del Friuli;Udine
12640;Ottone;Casimiro;\N;M;IT;1856-00-00;1923-00-00;Vigevano;\N
12641;Carmelo;Giarizzo;\N;M;\N;\N;\N;\N;\N
12642;Rosa;Bonomi;\N;F;\N;\N;\N;\N;\N
12643;Luigi;Rota;\N;M;\N;\N;\N;\N;\N
12644;G.;Maggi;\N;\N;\N;\N;\N;\N;\N
12645;Cleto;Capri;\N;M;IT;1873-00-00;1965-00-00;Bologna;Bologna
12646;Helena;Drużbacka;\N;F;PL;\N;\N;\N;\N
12647;Pasquale;Cavalli Kayrell;\N;M;\N;\N;\N;\N;\N
12648;Giulio;Pagliano;\N;M;IT;1882-00-00;1932-00-00;Gallipoli;Gallipoli
12649;Michele;Catti;\N;M;IT;1855-00-00;1914-00-00;Palermo;Palermo
12650;Felice;Abrami;\N;M;IT;1872-00-00;1919-00-00;Milan;Abbiate Guazzone
12651;George Edward;Cook;\N;M;US;1867-00-00;1930-00-00;\N;Southern Pines
12652;Alfredo;Pariani;\N;M;IT;1876-00-00;1931-00-00;Milan;Pallanza
12653;Camillo;Verno;\N;M;IT;1870-00-00;1942-00-00;Campertogno;Campertogno
12654;Gaele;Covelli;\N;M;IT;1872-00-00;1932-00-00;Crotone;Florence
12655;Enrico De;Falco;\N;M;\N;1875-00-00;\N;Verona;\N
12656;A.;Barbieri;\N;\N;\N;\N;\N;\N;\N
12657;Angelo;Cantù;\N;M;IT;1881-00-00;1955-00-00;Milan;Milan
12658;Giuseppe;Bozzalla;\N;M;IT;1874-00-00;1958-00-00;Biella;Pollone
12659;Guglielmo;Galbusera;\N;M;IT;\N;\N;\N;\N
12660;Giuseppe;Giobbio;\N;M;IT;1860-00-00;1916-00-00;Rovellasca;Milan
12661;Antonio;Pasinetti;\N;M;IT;1863-00-00;1940-00-00;Montichiari;Milan
12662;Onofrio, Sr.;Tomaselli;\N;M;IT;1866-00-00;1956-00-00;Bagheria;Palermo
12663;Mascha;Berghinz;\N;F;\N;\N;\N;\N;\N
12664;Abele;DellaColetta;\N;M;IT;1885-00-00;1972-00-00;Vittorio Veneto;Spresiano
12665;Vincenzo;Curioni;\N;M;\N;\N;\N;\N;\N
12666;Enrico;Castellaneta;\N;M;IT;1864-00-00;1953-00-00;Gioia del Colle;Gioia del Colle
12667;Giovanni;Pagnotta;\N;M;\N;\N;\N;\N;\N
12668;Giulio;Sommati di Mobello;\N;M;IT;1858-00-00;1926-00-00;Chieri;Turin
12669;Antonio;Scanagatta;\N;M;\N;\N;\N;\N;\N
12670;Giacomo;Campi;\N;M;IT;1846-00-00;1921-00-00;Milan;Milan
12671;Pietro;Pajetta;\N;M;IT;1845-00-00;1911-00-00;Vittorio Veneto;Padua
12672;Arturo;Ferrari;\N;M;IT;1861-00-00;1932-00-00;Milan;Milan
12673;Cesare Calchi;Novati;\N;M;IT;1858-00-00;1939-00-00;Milan;Milan
12674;Alessandro;Bagioli;\N;M;IT;1879-00-00;1965-00-00;Cesena;Cesena
12675;Romolo;Tessari;\N;M;IT;1868-00-00;1925-00-00;Castelfranco Veneto;Mira
12676;Maria;Pensa;\N;F;\N;\N;\N;\N;\N
12677;Leopoldo;Burlando;\N;M;IT;1841-00-00;1915-00-00;Milan;Milan
12678;Isabella;Giglio Cabrini;\N;F;IT;\N;\N;\N;\N
12679;C.;Masutti;\N;M;\N;\N;\N;\N;\N
12680;Carlo De;Luca;\N;M;\N;\N;\N;\N;\N
12681;Rosa;Rayneri;\N;F;\N;\N;\N;\N;\N
12682;Bianca;Rayneri;\N;F;\N;\N;\N;\N;\N
12683;Carlo;Carignani;\N;M;\N;\N;\N;\N;\N
12684;Ermelina;Scotti;\N;F;\N;\N;\N;\N;\N
12685;Quinto;Cenni;\N;M;IT;1845-00-00;1917-00-00;Imola;Carnate di Lecco
12686;G.;Rossi;\N;\N;\N;\N;\N;\N;\N
12687;Elda;Cenni;\N;F;IT;1876-00-00;1947-00-00;Genoa;Milan
12688;Carlo;Agache;\N;M;\N;\N;\N;\N;\N
12689;Basilio;Cascella;\N;M;IT;1860-00-00;1950-00-00;Pescara;Pescara
12690;Luigi;Rossi;\N;M;CH;1853-00-00;1923-00-00;Castagnola;Tesserete
12691;Alcide Davide;Campestrini;\N;M;IT;1863-00-00;1940-00-00;Trento;Milan
12692;Angelo;Sartori;\N;M;\N;\N;\N;\N;\N
12693;Arnaldo;Ferraguti;\N;M;IT;1862-00-00;1925-00-00;Ferrara;Forlì
12694;Carlo;Bini;\N;M;IT;1873-00-00;1955-00-00;Intra;Arona
12695;Domenico;Pesenti;\N;M;IT;1843-00-00;1918-00-00;Medole;Mantua
12696;Josè;Beullieure;\N;M;\N;\N;\N;\N;\N
12697;Giovanni;Todeschini;\N;M;IT;1857-00-00;1938-00-00;Lecce;Milan
12698;Enrico;Arrigoni;\N;M;\N;\N;\N;\N;\N
12699;Emilio Vincenzo;Magoni;\N;M;IT;1867-00-00;1922-00-00;Brescia;Brescia
12700;\N;Blix;\N;\N;\N;\N;\N;\N;\N
12701;\N;Duvieu;\N;\N;\N;\N;\N;\N;\N
12702;\N;Fortuny;\N;\N;\N;\N;\N;\N;\N
12703;Giuseppe;Rambelli;\N;M;IT;1868-00-00;1954-00-00;Bagnacavallo;Torre di Traversara
12704;Luigina;Pierini;\N;F;\N;\N;\N;\N;\N
12705;Serge;Youjanine;\N;M;\N;\N;\N;\N;\N
12706;Ernesto;Colombo;\N;M;IT;\N;\N;\N;\N
12707;Adolph;Hirémy-Hirschl;\N;M;HU;1860-00-00;1933-00-00;Timișoara;Rome
12708;Luigi;Branzani;\N;M;IT;\N;\N;\N;\N
12709;Clara;Müller;\N;F;CH;1862-00-00;1929-00-00;Densbüren;Bergamo
12710;Raffaele D´;Amato;\N;M;IT;1857-00-00;1921-00-00;Maiori;Maiori
12711;Giovanni;Galfré;\N;M;IT;\N;\N;\N;\N
12712;Paolo Emilio;Passaro;\N;M;IT;1878-00-00;1956-00-00;Vallo della Lucania;Naples
12713;Eugenio;Spreafico;\N;M;IT;1856-00-00;1919-00-00;Monza;Lombardy
12714;Alberto;Malaspina;\N;M;IT;1853-00-00;1906-00-00;Pisa;Milan
12715;Anna;Morpurgo;\N;F;\N;\N;\N;\N;\N
12716;Angiolo;D'Andrea;\N;M;IT;1880-00-00;1942-00-00;Pordenone;San Giorgio della Richinvelda
12717;Romualdo;Prati;\N;M;IT;1874-00-00;1930-00-00;Caldonazzo;Rome
12718;Luigi;Iobbi;\N;M;\N;\N;\N;\N;\N
12719;Osvaldo;Fiorido;\N;M;IT;1870-00-00;1965-00-00;Verona;\N
12720;Silvio;Poma;\N;M;IT;1841-00-00;1932-00-00;Trescore Balneario;Turate
12721;Antonio;Bortolussi;\N;M;\N;\N;\N;\N;\N
12722;Agostino;Viale;\N;M;\N;\N;\N;\N;\N
12723;Mario;Zoppellari;\N;M;\N;\N;\N;\N;\N
12724;Annita;Zappa;\N;F;\N;\N;\N;\N;\N
12725;Erma;Zago;\N;F;IT;1880-00-00;1942-00-00;Bovolone;Milan
12726;Dante;Bertini;\N;M;IT;1878-00-00;1944-00-00;Roverbella;Lago D´Orta
12727;Ernesto;Levi;\N;M;\N;\N;\N;\N;\N
12728;Benedetto;Moize;\N;M;\N;\N;\N;\N;\N
12729;Carlo;Böcklin;\N;M;CH;1870-00-00;1934-00-00;Basel;Florence
12730;Giovanni Battista;Costa;\N;M;IT;1858-00-00;1938-00-00;Rapallo;Genoa
12731;Giovanni;Rubini;\N;M;\N;\N;\N;\N;\N
12732;Giulio;Simon;\N;M;\N;\N;\N;\N;\N
12733;Anita;Gozzi;\N;F;IT;\N;\N;\N;\N
12734;Grace;Bisatrocchi;\N;F;\N;\N;\N;\N;\N
12735;Romano;Broggini;\N;M;\N;\N;\N;\N;\N
12736;Jean-Baptiste;Scoriel;\N;M;BE;1883-00-00;1956-00-00;Lambusart;Tamines
12737;Romeo;Borgononi;\N;M;IT;1873-00-00;1915-00-00;Ravenna;Pavia
12738;Attilio;Bizzozzero;\N;M;IT;1876-00-00;1913-00-00;Varese;Varese
12739;Roberto;Pazzini;\N;M;\N;\N;\N;\N;\N
12740;Andrea;Favero;\N;M;IT;1837-00-00;1914-00-00;San Zenone degli Ezzelini;Como
12741;Camillo;Miola;\N;M;IT;1840-00-00;1919-00-00;Italy;Naples
12742;Giovanni;Masotti;\N;M;IT;1873-00-00;1915-00-00;Bologna;Bologna
12743;Ascanio;Chiericati;\N;M;IT;1866-00-00;1913-00-00;Vicenza;Vicenza
12744;Romolo;Pellegrini;\N;M;\N;\N;\N;\N;\N
12745;Emilio;Magistretti;\N;M;IT;1851-00-00;1936-00-00;Milan;Milan
12746;Italiano;Franchi;\N;M;IT;1860-00-00;1926-00-00;Pescia;Pescia
12747;Paolo;Bartolini;\N;M;IT;1859-00-00;1930-00-00;Rome;Rome
12748;Arnaldo;De Lisio;\N;M;IT;1869-00-00;1949-00-00;Castelbottaccio;Naples
12749;Fausto;Zonaro;\N;M;IT;1854-00-00;1929-00-00;Masi;San Remo
12750;Francesco;Ghittoni;\N;M;IT;1855-00-00;1928-00-00;San Giorgio Piacentino;Piacenza
12751;Simone;Salassa;\N;M;IT;1863-00-00;1930-00-00;Montanaro Canavese;Ivrea
12752;Tullio Salvatore;Quinzio;\N;M;IT;1858-00-00;1918-00-00;Florence;Genoa
12753;Aldo;Mazza;\N;M;IT;1880-00-00;1964-00-00;Milan;Gavirate
12754;Bartolommeo;Giuliano;\N;M;IT;1825-00-00;1909-00-00;Susa;Milan
12755;Raffaele;Lazzari;\N;M;\N;\N;\N;\N;\N
12756;Vincenzo;Castagneto;\N;M;\N;\N;\N;\N;\N
12757;Angelo;Aria;\N;M;\N;\N;\N;\N;\N
12758;Johanna;Beha Castagnola;\N;F;CH;1869-00-00;1942-00-00;Brussels;Lugano
12759;Luigi di;Giovanni;\N;M;IT;1856-00-00;1938-00-00;Palermo;Palermo
12760;Aleardo;Villa;\N;M;IT;1865-00-00;1906-00-00;Milan;Milan
12761;Pietro Adamo;Rimoldi;\N;M;IT;1869-00-00;1939-00-00;Milan;Milan
12762;Raoul;Viviani;\N;M;IT;1883-00-00;1965-00-00;Florence;Rapallo
12763;Giambattista;Todeschini;\N;M;IT;1857-00-00;1938-00-00;Lecco;Milan
12764;Emilio;Malerba;\N;M;IT;1880-00-00;1926-00-00;Milan;Milan
12765;Giuseppe;Porta;\N;M;\N;\N;\N;\N;\N
12766;Alberto;Bonomi;\N;M;IT;1876-00-00;1914-00-00;Milan;Paris
12767;Giuseppe;Quaranta;\N;M;IT;1851-00-00;1915-00-00;Naples;Buenos Aires
12768;Giuseppe;Barbaglia;\N;M;IT;1841-00-00;1910-00-00;Milan;Vedano al Lambro
12769;Vico;Viganò;\N;M;IT;1874-00-00;1967-00-00;Cernusco sul Naviglio;Cernusco sul Naviglio
12770;Vespasiano;Bignami;\N;M;IT;1841-00-00;1929-00-00;Cremona;Milan
12771;Luigi;Mantovani;\N;M;IT;1880-00-00;1957-00-00;Milan;Milan
12772;Augusto;Licata;\N;M;IT;1851-00-00;1942-00-00;Rome;Naples
12773;Enrico;Crespi;\N;M;IT;1854-00-00;1929-00-00;Busto Arsizio;Milan
12774;Giovannina;Rubini;\N;F;\N;\N;\N;\N;\N
12775;Amerino;Cagnoni;\N;M;IT;1853-00-00;1923-00-00;Milan;Milan
12776;Paolo;Mezzanotte;\N;M;IT;1878-00-00;1969-00-00;Milan;Inverigo
12777;Carlo;Stragliati;\N;M;IT;1868-00-00;1925-00-00;Milan;Milan
12778;Vittorio;Ripa;\N;M;\N;\N;\N;\N;\N
12779;Eugenio;Prati;\N;M;IT;1842-00-00;1907-00-00;Caldonazzo;Caldonazzo
12780;Alberto;Maironi Da Ponte;\N;M;IT;1836-00-00;1915-00-00;Cenate Sotto;Bergamo
12781;Antonio;Buffa;\N;M;\N;\N;\N;\N;\N
12782;Suzanne;Valadon;\N;F;FR;1865-00-00;1938-00-00;Bessines-sur-Gartempe;Paris
12783;Franz;Aschenbach;\N;M;DE;1883-00-00;\N;Berlin;\N
12784;Bartold;Asendorpf;\N;M;DE;1888-00-00;1946-00-00;Stettin;Buchenwald
12785;Ignacz;Beth;\N;M;\N;1877-00-00;1918-00-00;Příbram;Berlin
12786;Attilio;Andreoli;\N;M;IT;1877-00-00;1950-00-00;Chiari;Cavaglio-Spoccia
12787;Camillo;Rapetti;\N;M;IT;1859-00-00;1929-00-00;Milan;Milan
